author,title,date,style,genre,media,dimensions,tag,location,link,image
Jean Arp,"Illustration for Tristan Tzara's ""Vingt-cinq poèmes""",1918,Dada,illustration,N/A,N/A,N/A,N/A,https://uploads0.wikiart.org/images/jean-arp/illustration-for-tristan-tzara-s-vingt-cinq-po-mes-1918-7.jpg,illustration-for-tristan-tzara-s-vingt-cinq-po-mes-1918-7.jpg
Jean Arp,Birds in an Aquarium,1920,Surrealism,sculpture,wood,N/A,N/A,"Museum of Modern Art (MoMA), New York City, NY, US",https://uploads5.wikiart.org/images/jean-arp/birds-in-aquarium.jpg,birds-in-aquarium.jpg
Jean Arp,Leafage and Drops,1920,Surrealism,abstract,N/A,N/A,N/A,N/A,https://uploads5.wikiart.org/images/jean-arp/leafage-and-drops.jpg,leafage-and-drops.jpg
Jean Arp,Shirt Front and Fork,1922,Dada,N/A,"woodcut, wood",N/A,N/A,N/A,https://uploads4.wikiart.org/images/jean-arp/shirt-front-and-fork-1922.jpg,shirt-front-and-fork-1922.jpg
Jean Arp,Dance,1925,Surrealism,figurative,wood,N/A,N/A,N/A,https://uploads2.wikiart.org/images/jean-arp/dance.jpg,dance.jpg
Jean Arp,Moustaches,c.1925,Surrealism,abstract,"oil, card",N/A,N/A,"Tate Modern, London, UK",https://uploads3.wikiart.org/images/jean-arp/moustaches-1925.jpg,moustaches-1925.jpg
Jean Arp,Head with mustache,1926,N/A,figurative,"oil, panel",N/A,N/A,N/A,https://uploads6.wikiart.org/images/jean-arp/head-with-mustache.jpg,head-with-mustache.jpg
Jean Arp,Tete Paysage,1924 - 1926,Surrealism,abstract,N/A,N/A,N/A,N/A,https://uploads5.wikiart.org/images/jean-arp/tete-paysage-1926.jpg,tete-paysage-1926.jpg
Jean Arp,Configuration,1927,Surrealism,abstract,N/A,N/A,N/A,N/A,https://uploads1.wikiart.org/images/jean-arp/configuration.jpg,configuration.jpg
Jean Arp,Constellation According to the Laws of Chance,c.1930,Surrealism,abstract,wood,N/A,N/A,"Tate Modern, London, UK",https://uploads2.wikiart.org/images/jean-arp/constellation-according-to-the-laws-of-chance-1930.jpg,constellation-according-to-the-laws-of-chance-1930.jpg
Jean Arp,TORSE,1931,N/A,sculpture,N/A,N/A,N/A,Private Collection,Not Found,torse-1931.jpg
Jean Arp,Constellation with 5 White Forms & 2 Black,1932,Surrealism,abstract,N/A,N/A,N/A,N/A,https://uploads1.wikiart.org/images/jean-arp/constellation-with-5-white-forms-2-black.jpg,constellation-with-5-white-forms-2-black.jpg
Jean Arp,Mustache Hat,1932,Dada,figurative,N/A,N/A,N/A,N/A,https://uploads0.wikiart.org/images/jean-arp/mustache-hat.jpg,mustache-hat.jpg
Jean Arp,Human Concretion,1933,Surrealism,sculpture,N/A,N/A,N/A,"Kunsthaus Zürich, Zürich, Switzerland",https://uploads4.wikiart.org/images/jean-arp/human-concretion.jpg,human-concretion.jpg
Jean Arp,According to the Laws of Chance,1933,Dada,abstract,"collage, board",N/A,N/A,"Tate Modern, London, UK",https://uploads0.wikiart.org/images/jean-arp/according-to-the-laws-of-chance-1933(1).jpg,according-to-the-laws-of-chance-1933.jpg
Jean Arp,Human Concretion,1935,Surrealism,sculpture,plaster,N/A,N/A,"Museum of Modern Art (MoMA), New York City, NY, US",Not Found,human-concretion-1935-0.jpg
Jean Arp,Human Concretion,1935,Surrealism,sculpture,N/A,49.5 x 47.6 cm,N/A,"Museum of Modern Art (MoMA), New York City, NY, US",https://uploads6.wikiart.org/images/jean-arp/human-concretion-1.jpg,human-concretion-1.jpg
Jean Arp,The Dream,1937,Surrealism,sculpture,N/A,37 x 20 cm,N/A,N/A,https://uploads6.wikiart.org/images/jean-arp/the-dream.jpg,the-dream.jpg
Jean Arp,Constellations,1938,Surrealism,abstract,N/A,N/A,N/A,N/A,https://uploads2.wikiart.org/images/jean-arp/constellations.jpg,constellations.jpg
Jean Arp,Growth,1938,Surrealism,sculpture,N/A,N/A,N/A,N/A,https://uploads3.wikiart.org/images/jean-arp/growth.jpg,growth.jpg
Jean Arp,"Evocation of a form: human, lunar, spectral",1950,Surrealism,sculpture,N/A,N/A,N/A,N/A,https://uploads1.wikiart.org/images/jean-arp/evocation-of-a-form-human-lunar-spectral.jpg,evocation-of-a-form-human-lunar-spectral.jpg
Jean Arp,Untitled,1953,Surrealism,abstract,N/A,N/A,N/A,N/A,https://uploads7.wikiart.org/images/jean-arp/untitled-1.jpg,untitled-1.jpg
Jean Arp,Torn-Up Woodcut,1920 - 1954,Dada,abstract,woodcut,N/A,N/A,"Tate Modern, London, UK",https://uploads8.wikiart.org/images/jean-arp/torn-up-woodcut-1954.jpg,torn-up-woodcut-1954.jpg
Jean Arp,Danger of Death (T05007),1954,Automatic Painting,abstract,"pencil, paper",N/A,N/A,"Tate Modern, London, UK",https://uploads6.wikiart.org/images/jean-arp/danger-of-death-t05007-1954.jpg,danger-of-death-t05007-1954.jpg
Jean Arp,"Abstract Composition, Knossos",1956,Abstract Art,abstract,N/A,N/A,N/A,N/A,https://uploads7.wikiart.org/images/jean-arp/abstract-composition-knossos.jpg,abstract-composition-knossos.jpg
Jean Arp,The Star,c.1939 - c.1960,Surrealism,sculpture,marble,N/A,N/A,Private Collection,https://uploads5.wikiart.org/images/jean-arp/the-star.jpg,the-star.jpg
Jean Arp,Idole,1961,Surrealism,abstract,N/A,N/A,N/A,N/A,https://uploads2.wikiart.org/images/jean-arp/idole.jpg,idole.jpg
Jean Arp,Rising Up (S'elevant),1962,Surrealism,sculpture,N/A,44.5 x 176.5 cm,N/A,"Scottish National Gallery of Modern Art, Edinburgh, UK",https://uploads3.wikiart.org/images/jean-arp/rising-up-s-elevant-1962.jpg,rising-up-s-elevant-1962.jpg
Jean Arp,The Sun Recircled,1966,Surrealism,abstract,woodcut,37 x 47 cm,N/A,"Israel Museum, Jerusalem, Israel",https://uploads1.wikiart.org/images/jean-arp/the-sun-recircled-1966.jpg,the-sun-recircled-1966.jpg
Jean Arp,The Sun Recircled,1966,Surrealism,abstract,woodcut,37 x 47 cm,N/A,"Israel Museum, Jerusalem, Israel",https://uploads3.wikiart.org/images/jean-arp/the-sun-recircled-1966-1.jpg,the-sun-recircled-1966-1.jpg
Jean Arp,Christ on the Cross II,N/A,Dada,religious painting,N/A,N/A,N/A,N/A,https://uploads1.wikiart.org/images/jean-arp/christ-on-the-cross-ii.jpg,christ-on-the-cross-ii.jpg
Jean Arp,Constellation,N/A,Surrealism,abstract,N/A,N/A,N/A,N/A,https://uploads1.wikiart.org/images/jean-arp/constellation.jpg,constellation.jpg
Jean Arp,Enak's Tears. Terrestrial Forms,N/A,Surrealism,abstract,N/A,N/A,N/A,N/A,https://uploads0.wikiart.org/images/jean-arp/enak-s-tears-terrestrial-forms.jpg,enak-s-tears-terrestrial-forms.jpg
Jean Arp,Frond and navel,N/A,Surrealism,abstract,N/A,N/A,N/A,N/A,https://uploads3.wikiart.org/images/jean-arp/frond-and-navel.jpg,frond-and-navel.jpg
Jean Arp,Hasard,N/A,Dada,abstract,N/A,N/A,N/A,N/A,https://uploads3.wikiart.org/images/jean-arp/hasard.jpg,hasard.jpg
